Section_Name;Date;Cracking;Surface_Defects;Transverse_Evenness;Longitudinal_Evenness;Skid_Resistance;Skid_Resistance_Tech;Macro_Texture;Bearing_Capacity
Road_1_Section_01;0;0.00014924267767179686;9.925239884667304e-17;1.1029270607690158e-05;0.9869771851089296;0.751610400133428;SFC;-;-
Road_1_Section_01;1;0.01974336690719082;1.0358028674641242;0.6481158286139234;1.0886346947833108;0.7481429590998563;SFC;-;-
Road_1_Section_01;2;0.049237880196443914;1.835725493523149;1.2242583921252206;1.1390509963884765;0.7484711611226685;SFC;-;-
Road_1_Section_01;3;0.07862852781377944;2.975970187166732;1.8515076740893273;1.2495858189543307;0.7444633859141551;SFC;-;-
Road_1_Section_01;4;0.14171466472265493;4.298464077614409;2.4802862021701664;1.1931653182064987;0.7394084785956324;SFC;-;-
Road_1_Section_01;5;0.20382767459183346;5.020997349628853;3.010306064108449;1.3376181587871536;0.7428688203867079;SFC;-;-
Road_1_Section_01;6;0.39100143380214425;6.398302966404447;3.854430178298218;1.3619161988210586;0.7404415281010747;SFC;-;-
Road_1_Section_01;7;0.4307846582116723;6.539634669799454;4.287008976286833;1.4650582433693928;0.738853795531636;SFC;-;-
Road_1_Section_01;8;0.5569672718798468;7.656204316968618;5.071166268130755;1.5067105853507345;0.7360540086884678;SFC;-;-
Road_1_Section_01;9;0.7893753911620771;9.132211211298168;5.952529689006772;1.50675234928376;0.7341521303650081;SFC;-;-
Road_1_Section_01;10;1.0328457034933645;10.604038663109378;6.623132867659571;1.3934394010753546;0.7292666604255799;SFC;-;-
Road_1_Section_01;11;1.5757855001633914;11.575900573571458;7.4096562255565;1.6413469633839741;0.7330419414346955;SFC;-;-
Road_1_Section_01;12;1.910186316577561;11.935494612981374;7.278067558585077;1.7301185296436523;0.7295431977626136;SFC;-;-
Road_1_Section_01;13;2.370351755478635;13.366248874605494;7.7844897735993674;1.82888919427682;0.7269403159509072;SFC;-;-
Road_1_Section_01;14;2.7045504822607827;13.955100337665774;7.977294582033148;1.8038874507682312;0.7256027346574905;SFC;-;-
Road_1_Section_01;15;4.361084798014104;15.564021006482571;8.692360880104381;2.1262601439802458;0.7242088677738742;SFC;-;-
Road_1_Section_01;16;6.3136649185879765;17.480190392387055;10.046373160981371;1.8855068560194357;0.7211512965840873;SFC;-;-
Road_1_Section_01;17;7.564336210393791;17.378984730387955;10.02972538044866;2.0593432409050667;0.7191484073055394;SFC;-;-
Road_1_Section_01;18;8.401107247210836;16.9505174056133;11.465926211267288;2.0085695427482917;0.718009636446033;SFC;-;-
Road_1_Section_01;19;11.300890524985794;19.34522721026566;11.420237222190169;1.9173654832206262;0.715033476688665;SFC;-;-
Road_1_Section_01;20;12.074156347696208;20.912535721557898;12.150996027968183;2.3247000300885166;0.7100387734557939;SFC;-;-
Road_1_Section_01;21;14.703172567190899;22.62485305196607;12.833004354316355;2.053865603573171;0.7085477791376955;SFC;-;-
Road_1_Section_01;22;17.017325287106967;23.135712264262107;14.636921601890446;2.30965662483284;0.7109561749844201;SFC;-;-
Road_1_Section_01;23;13.625230918816698;23.93620667691612;14.410993743034949;2.438039268677894;0.7060013749579597;SFC;-;-
Road_1_Section_01;24;17.97715487292143;25.0145290264109;14.717127055781003;2.363884172641207;0.7062797859639168;SFC;-;-
Road_1_Section_01;25;20.091501310287363;24.577474766128482;16.537937853793494;2.569650154314321;0.7064530000699156;SFC;-;-
Road_1_Section_01;26;21.33430763515059;26.41112392875948;16.89509145091803;2.414951318218935;0.7045264597586153;SFC;-;-
Road_1_Section_01;27;21.757002438357034;28.24348396842668;15.498972646184328;2.7544580422184675;0.7023169430190876;SFC;-;-
Road_1_Section_01;28;22.530632834223823;27.13639140628133;18.22144004799098;2.690037632868196;0.699108317381069;SFC;-;-
Road_1_Section_01;29;22.021879556383805;29.5601357041212;20.287894452674585;2.5846083965180924;0.6975537628891345;SFC;-;-
Road_1_Section_01;30;25.156417215180387;30.81297233320245;20.84608911270965;2.8125457056546206;0.6990808892826621;SFC;-;-
Road_2_Section_01;0;0.002068414685487233;0.0;7.318230121752648e-06;0.9763816742827561;0.7497630737647007;SFC;-;-
Road_2_Section_01;1;0.2003287146376802;1.0285071943940796;0.6050292330931779;1.0986764756502905;0.746514260326284;SFC;-;-
Road_2_Section_01;2;0.5634670390074995;2.1677967628196435;1.2941933075366234;1.0831146239718146;0.75101186893432;SFC;-;-
Road_2_Section_01;3;1.010692816502753;3.09002343333216;1.7241115232885968;1.1732466912226687;0.7446382258563582;SFC;-;-
Road_2_Section_01;4;1.8597216952006719;4.06241421228503;2.6601519438653716;1.2148073959322225;0.7403316598691725;SFC;-;-
Road_2_Section_01;5;2.5230717811564265;4.934230109565506;3.243125127838163;1.3746646580110997;0.7400806665447748;SFC;-;-
Road_2_Section_01;6;4.695440013381668;6.007464313100542;3.81485496843789;1.334700357435695;0.740860827111914;SFC;-;-
Road_2_Section_01;7;5.5202795407479766;7.318149075638758;4.660841139097444;1.4764918638751197;0.7375653353754538;SFC;-;-
Road_2_Section_01;8;8.469208228567407;8.098660841105767;4.96977661804826;1.4668395295206547;0.7312260766234653;SFC;-;-
Road_2_Section_01;9;8.889967894307837;9.575255924811321;6.174935563350871;1.5466884105110352;0.7344052583652061;SFC;-;-
Road_2_Section_01;10;9.979294754747531;10.619499777546636;6.549175239322646;1.7069688688488822;0.7324662744597685;SFC;-;-
Road_2_Section_01;11;13.720487692819951;10.980097569614383;6.723833271421274;1.7005443405855007;0.7329728329133115;SFC;-;-
Road_2_Section_01;12;11.607799882603508;12.50909481798265;8.325103316633271;1.8742999995182799;0.727886991536763;SFC;-;-
Road_2_Section_01;13;15.194357623744976;11.925610468729;7.972388707370353;1.6460559177374676;0.7277238969456089;SFC;-;-
Road_2_Section_01;14;18.4118643368266;16.515259392380237;8.566356737265506;2.010932628423547;0.7234600835017256;SFC;-;-
Road_2_Section_01;15;16.60797137386911;16.002949133501932;10.518140688498246;1.98425552555566;0.7241793567058713;SFC;-;-
Road_2_Section_01;16;18.97182109957557;16.829997080139243;10.232265835926071;1.8939031286227093;0.7195640081004842;SFC;-;-
Road_2_Section_01;17;22.681859212380278;16.94250004886619;11.746196249589094;2.088065589034384;0.7180551026545108;SFC;-;-
Road_2_Section_01;18;18.72344451743588;19.407477517730506;10.261542569061097;2.05327913259992;0.7174072850952279;SFC;-;-
Road_2_Section_01;19;24.898897675384745;19.750998520513967;12.158362019420181;2.1250068984358057;0.714985442579453;SFC;-;-
Road_2_Section_01;20;19.430763883139583;20.366567160115267;12.764352701504224;2.087919625935438;0.7170090112521511;SFC;-;-
Road_2_Section_01;21;21.607009818024462;20.77746955463301;13.153177349099577;2.337874018258444;0.711821307709854;SFC;-;-
Road_2_Section_01;22;26.992634944400574;23.095248350347298;13.836430975927636;2.589753133189873;0.7079419499791142;SFC;-;-
Road_2_Section_01;23;25.395587198353148;24.15207315186421;14.954052926846487;2.0632449157984305;0.7098639800946965;SFC;-;-
Road_2_Section_01;24;27.820569596891367;24.3866809570931;15.943629447093317;2.6678627094084377;0.7107076133494676;SFC;-;-
Road_2_Section_01;25;30.06975442554397;25.77465420175247;16.170325634285764;2.408303304273372;0.7071310265550299;SFC;-;-
Road_2_Section_01;26;29.999126122516625;28.46109335974791;15.76858719153634;2.6294539369732255;0.7044478795653057;SFC;-;-
Road_2_Section_01;27;23.937360889828625;27.68436309355738;17.49226444402251;2.638037289941061;0.6976917866990522;SFC;-;-
Road_2_Section_01;28;26.943174521099518;28.53964561183951;17.569464443447725;2.5810527532913206;0.7018384386554398;SFC;-;-
Road_2_Section_01;29;23.334944743552004;27.45320956165036;18.543045994583338;2.82673943231157;0.6973304427186378;SFC;-;-
Road_2_Section_01;30;28.80219796364646;30.57572766707469;16.700414170626885;2.9244753867845192;0.6935325308556571;SFC;-;-